Speculation,count,mean,median,std,label,Sensationalism,Conspiracy,Hate_Speech,Satire
0.0,42749,0.1009327960887974,0.0,0.47050297713304723,Speculation,,,,
1.0,29023,-0.04566194052992454,0.0,0.5413333233850286,Speculation,,,,
,36286,0.11096671719120323,0.0,0.45779864224455863,Sensationalism,0.0,,,
,35486,-0.029223037254128392,0.0,0.5409070593937444,Sensationalism,1.0,,,
,57298,0.09907154001884882,0.0,0.48141688867727295,Conspiracy,,0.0,,
,14474,-0.18564816222191516,-0.25,0.5337636083275094,Conspiracy,,1.0,,
,67659,0.06254272750114545,0.0,0.49498031066406306,Hate_Speech,,,0.0,
,4113,-0.30198123024556284,-0.4588,0.5508254714497199,Hate_Speech,,,1.0,
,66920,0.035755871189479975,0.0,0.5046479771851644,Satire,,,,0.0
,4852,0.12298983924154988,0.06775,0.5102021640024346,Satire,,,,1.0
