days_to_election,posts,harmful_share,avg_sentiment
-19,659,0.48710166919575115,0.07758619119878604
-18,786,0.3994910941475827,0.06698040712468194
-17,808,0.41089108910891087,0.01410210396039604
-16,766,0.4308093994778068,0.0787869451697128
-15,780,0.43974358974358974,-0.0016446153846153835
-14,586,0.40784982935153585,0.07357713310580205
-13,370,0.4702702702702703,0.061299189189189196
-12,199,0.39195979899497485,-0.042580904522613074
-11,196,0.3826530612244898,0.041647959183673464
-10,199,0.40703517587939697,-0.0380824120603015
-9,198,0.3838383838383838,0.10756060606060606
-8,194,0.25257731958762886,0.021385051546391757
-7,200,0.425,0.068283
-6,199,0.40703517587939697,0.07438743718592965
-5,199,0.4020100502512563,0.07160804020100503
-4,198,0.2727272727272727,0.04727777777777777
-3,642,0.42834890965732086,0.071151246105919
-2,1428,0.44607843137254904,0.07898627450980392
-1,1400,0.32571428571428573,0.09073307142857143
0,1421,0.2681210415200563,0.14230689655172413
1,1395,0.4064516129032258,0.21870881720430108
2,469,0.4946695095948827,0.13544477611940298
3,394,0.46446700507614214,0.07357994923857868
4,392,0.5663265306122449,0.029631887755102043
5,495,0.5595959595959596,0.03639777777777778
6,396,0.5328282828282829,0.05839873737373738
7,395,0.43544303797468353,0.09139721518987341
8,398,0.4648241206030151,0.03556105527638191
9,392,0.4030612244897959,0.11252066326530612
10,407,0.32678132678132676,0.11130884520884521
11,422,0.54739336492891,0.026536492890995262
12,497,0.49899396378269617,0.014791549295774649
13,516,0.5329457364341085,0.014637403100775194
14,521,0.42610364683301344,0.018559309021113243
15,514,0.4357976653696498,0.052097276264591444
16,495,0.4666666666666667,0.1002769696969697
17,521,0.510556621880998,0.04183646833013436
18,532,0.39097744360902253,0.06767744360902254
19,514,0.5700389105058365,0.07470505836575876
20,502,0.4641434262948207,0.0482906374501992
21,520,0.5076923076923077,-0.002573846153846153
22,517,0.4119922630560928,0.013880270793036751
23,523,0.5066921606118547,0.04304072657743786
24,516,0.45155038759689925,0.058469573643410856
25,493,0.4949290060851927,0.05915740365111562
26,523,0.497131931166348,0.007158317399617592
27,520,0.49230769230769234,0.035041923076923075
28,512,0.435546875,0.0808220703125
29,511,0.44422700587084146,0.04319236790606654
30,514,0.5,0.09985583657587548
